Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xff0af74bd359ca25ef96b787d0b744776ea81943e3687f942694f4542c806b2f","Success","Cast Vote","298913034","2025-01-24 21:40:50","0x892bDC1c84617a0A6Ff3CA175c9670fd80f10112","direct8d.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000164"
"0x5f2f9563055e39722233d2e16a59ca7493c00431752cd52eb5efee8469a27e01","Success","Cast Vote","298911521","2025-01-24 21:34:30","0x34ba065E3E68CD93308C59Bf992E878dd93a9946","lovinner.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000164"
"0x2e2e224ae2a012c297ea4625f342cfec42f0b096a59b7523f16e3e9d51795829","Success","Cast Vote","298908412","2025-01-24 21:21:34","0x450c6C747269F857Ac22feaB0CCDAc768cC8302b","cybercoregen.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000249"
"0x1c77f890c7ad42ee035bef2e55fbda0f4b7d4924890ac7441374c3ebce3515d9","Success","Cast Vote","298902458","2025-01-24 20:56:45","0xFc7D86B86d1277296Fb96F549b7FeEb439b4bfB6","copperbrain.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000236"
"0x900ddf9aa1ff8b628344cdc9c545fb8a53cb557f9b524479bc917f5b30c12b69","Success","Cast Vote","298902010","2025-01-24 20:54:54","0x631c137db3a1cac02F2CDec599422F25Ea55C02C","kpunta.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000223"
"0xd553bc0b28fd7b440ec0697045602c3cbd0b4dd9229c6d530babac964787585c","Success","Cast Vote","298901400","2025-01-24 20:52:21","0x9441B6739ed4791bb0c66Fc4E295e795Cd784720","bepum.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000221"
"0xf78d022a1e02bb84b4a85046dbc6491aea04f0c18374b12e0f668d9ebd0a9917","Success","Cast Vote","298898735","2025-01-24 20:41:16","0x32b847026b1C3e8fF2a75474317af318f14CF94d","pachelevine.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000159"
"0x1d657c71ae0d76f814f845475264bfb2ad66806a8c7538f8b979ad91ad17a531","Success","Cast Vote","298897552","2025-01-24 20:36:22","0x4e1095F5E3A0920D85fdd0ffA6eF5aa8Cf30cF35","jlojlka.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000147"
"0x39213c242e166d5c569d3483b0734a31ddd08ed4bf4da93cb8e887cefe387c58","Error in Main Txn : execution reverted","Cast Vote","298896164","2025-01-24 20:30:34","0xbD384a4F714955eAF2f219f6976033CE56ec9c09","4eptu.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000135"
"0xe572d31067b973af25a19982953eb3d6bebd74cc6ded01974755693eb27a3995","Success","Cast Vote","298892879","2025-01-24 20:16:53","0x25817f2190853A7f1424328D787c98473C7597EE","cjlaba.eth","0xf07DeD9dC292157749B6Fd268E37DF6EA38395B9","Arbitrum Foundation: Core Governor","0 ETH","$0.00","0.00000146"
