"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0xe89a4615ee8031023602c3e7cf84dfaf798849af48f7a05bcd988dca4f0c51ca","Success","Tx","Cast Vote","21751770","255 days ago","0x8bb9d5908cdce82915a847fbb34fd93e1e50ccc2","tatarka.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00020115"
"0x5066a919a3f5dbd3c923d74fbd33ff3086831bb55851d29a196d3197e1cdb7aa","Success","Tx","Cast Vote","21751769","255 days ago","0x8bb9d5908cdce82915a847fbb34fd93e1e50ccc2","tatarka.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00019688"
"0x51605bc589e3c351c98e800ac559937f377175335ab3e574f7d04d0a325e5035","Success","Tx","Cast Vote","21751768","255 days ago","0x8bb9d5908cdce82915a847fbb34fd93e1e50ccc2","tatarka.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00019556"
"0x542f4deb3ba2b282b6c1ce0b0b1363391e55840cc417afbda069bccfdd9957ba","Success","Tx","Cast Vote","21750235","256 days ago","0x95f85372846ca6903dc945de6aa236550abb19c0","tuatua.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00014076"
"0xb949945f6f306e1161c378e682a9d3ca41d416dbff26909c6348efc8eed6e883","Success","Tx","Cast Vote","21749710","256 days ago","0x45d79e456c1a1faa24AdCDCd6EB3Ac2D05B64925"," ","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00014631"
"0x5643578ffe6531c7e8eb852c0613d8ab2497e5564dc248c8bc5f2dea7f13ff67","Success","Tx","Cast Vote","21749234","256 days ago","0x9a0f21b00d45856bf67be52d822fa3d4f8888de8","vivasun.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00015113"
"0x2f9838b7ddb961b947e00a59f49196254a57f0140ef8ef9e68306cf4ac3d8536","Success","Tx","Cast Vote","21749231","256 days ago","0x9a0f21b00d45856bf67be52d822fa3d4f8888de8","vivasun.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00015884"
"0x3aa7d8e3e2084acf0cd1c12fe119a3cb88c704d6bea4c74cd3c492ad8b43cf96","Success","Tx","Cast Vote","21749229","256 days ago","0x9a0f21b00d45856bf67be52d822fa3d4f8888de8","vivasun.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00016155"
"0xee62fff4d5a46c7b0fbc059778e79612b5a084d72649c6355e10d729efa40894","Success","Tx","Cast Vote","21749225","256 days ago","0x61ff9cbe2d6ce98f4c8ecf3807339474f4c09630","kiddy.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00015037"
"0x7e404bcde94661ead7804bc70976354f04588bd8d63ac4e7a47ab6379a855d8c","Success","Tx","Cast Vote","21749223","256 days ago","0x61ff9cbe2d6ce98f4c8ecf3807339474f4c09630","kiddy.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00015721"
"0x3405f01e702c133d6d2b4bf29dc38d933bc643f1f9b17722be6b5e4d6b64912d","Success","Tx","Cast Vote","21749220","256 days ago","0x61ff9cbe2d6ce98f4c8ecf3807339474f4c09630","kiddy.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00014667"
"0xf4495106c1a6d96eff8039ecc73fa9bce46fbe3b93a743dabc247978404432f0","Success","Tx","Cast Vote","21749216","256 days ago","0xc6d7208dadee4f431bd0f3f11e7d4c91ff51bfb2","bitknight.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00014929"
"0xf207ba47fb18d63af257d065faad63a772603910ce16722f1b65135792cfbebc","Success","Tx","Cast Vote","21749214","256 days ago","0xc6d7208dadee4f431bd0f3f11e7d4c91ff51bfb2","bitknight.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00015488"
"0x851eb1a156f1d016cb91ece472b1bde6a5702c6329b6b945bfa425bcaedc335a","Success","Tx","Cast Vote","21749212","256 days ago","0xc6d7208dadee4f431bd0f3f11e7d4c91ff51bfb2","bitknight.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.0001486"
"0x9d6257ae77f87d50f6cddf41d6e28b4f3bc6b895969f72f90cb67774dda7b61c","Success","Tx","Cast Vote","21749204","256 days ago","0x74075d1a2481f25343b32bb1a7bf6336ee42b016","shuangzzz.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00011484"
"0x0fef119eec244fcf36ff3a67a1db4165c605bfa0968175ce031978a5693ed084","Success","Tx","Cast Vote","21749180","256 days ago","0xd8dea87ddcc0c3c1464ded6102e4d3e829d0ae41","taiyaki.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00011062"
"0x801b54c13f556cfc2153736599e6a2e8a4999c22eff29a6a8d92e2af8a2c84be","Success","Tx","Cast Vote","21749174","256 days ago","0xd8dea87ddcc0c3c1464ded6102e4d3e829d0ae41","taiyaki.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00011207"
"0x25bc33021d7ac8b3097f185001290e831ba94a9678f113cc4dc2a12dfd8490f4","Success","Tx","Cast Vote","21749046","256 days ago","0x17296956b4e07ff8931e4ff4ea06709fab70b879","curia-delegates.eth","0xc0da02939e1441f497fd74f78ce7decb17b66529"," Compound: Governance","0","$0.00","Ethereum(ETH)","0.00011762"
