"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x774acdb144e0f207b928865906e4c1bc89ec3f7a036d363df98950b625cc2980","Success","Tx","Vote","22071990","211 days ago","0x3f217aF5b4d5Dc6467598937119E500ab758623a"," ","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00006556"
"0x8f753a42b0ab6d482bc2882895a2cd3a68242b79874f4ad4ffc8631539ebc97f","Success","Tx","Vote","22001680","221 days ago","0x3496cc53d6d8650ec936891038e656a85475126b","kontoldao.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00006693"
"0xa58138f1f2653b810ad6c4438da929288b9e9908842e3bc38a9fcf830e06888c","Success","Tx","Vote","22001659","221 days ago","0x50d2dec635c48f5e8cede341df87c651c6cd5318","willyampangestu.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00006815"
"0x4d3990b821e574ba01bd16253cccbdb7b5fac343c5c31ceb0d1c0d82817fa8b8","Success","Tx","Vote","21897840","235 days ago","0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1","chud.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00018982"
"0x32e96d7553289ee1603a126d6e3f32ac4331200c7b24c501754cf539e089afc5","Success","Tx","Vote","21876613","238 days ago","0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1","chud.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00012436"
"0x4e58867a4200f3fe0bf3aafd065169c20877d05002b8aea4a83b5879f3c8ade6","Success","Tx","Vote","21789431","250 days ago","0xb4fb31e7b1471a8e52dd1e962a281a732ead59c1","chud.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00053098"
"0xc7e1752f6f80012a20d493609467b6489d347cba3e70b5099d1671328341aaa7","Success","Tx","Vote","21440383","299 days ago","0xbb4747fce02ec5464bfaa6f18456f57f871ea2d6","buttkorn.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00064496"
"0x8de449e6b710eabf5584f0aa9ab11bd11809840780f0ae32b0f6a93b9adeb9b8","Success","Tx","Vote","21349902","312 days ago","0x015122a625b45f68e6d795c0ab99fc7107e4c3b9","gokbelen.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00127013"
"0x2b95173d20ecc64d7a8cd49798e845218a2305161fb4f892e0c07927774e1ae7","Success","Tx","Vote","21042280","355 days ago","0xbb4747fce02ec5464bfaa6f18456f57f871ea2d6","buttkorn.eth","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00032912"
"0x9f709ae18fc10ebf084587e8aa3fe4e31aa392b99b39989a8b5046c9363dcc21","Success","Tx","Vote","21010003","359 days ago","0xa16D0708706245e5e27AC8f118776f5Ed1C78D90"," ","0x0a3f6849f78076aefadf113f5bed87720274ddc0"," Sky: Governance Contract","0","$0.00","Ethereum(ETH)","0.00067943"
