"Transaction Hash","Status","Type","Method ","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x8b7c5af94bf636ed1853ba156025f12456e476b43e7c71022e3f4b62bd1831b1","Success","Tx","Cast Vote","23319136","36 days ago","0x11b9dd6d3129eb740011b1a948adcbcb67758a10","zexez.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00010287"
"0x515066359dfe14aa9d96766abab05619416c1a22d61e6a7d68fa733a6eb918af","Success","Tx","Cast Vote","23314896","37 days ago","0xBc525c94D5EDD2AbA3D5fbf64B5039e795b8d00F"," ","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00001302"
"0xe165ca98e4b97b105fb64cc9cb97f24b4eeba95b76070488db3200357ef1f54d","Success","Tx","Cast Vote","23313421","37 days ago","0x30f4337abe6f70890f4ac7ff77016d4b8edb42a6","666180.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00009022"
"0x9171846dd7459acb0706e37251bd9f2e2793437c7cbea176cee4a577c0d63f41","Success","Tx","Cast Vote","23312097","37 days ago","0x182fcf35d9065375c0c74fccb13dffe912ca83b3","ponzi-partaker.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00001115"
"0x4d9831d2b5091a71806f5c7a9fbd179bafb37dd495381f3abd02c7428e613ba8","Success","Tx","Cast Vote","23312037","37 days ago","0x182fcf35d9065375c0c74fccb13dffe912ca83b3","ponzi-partaker.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00001122"
"0x60feb4bad8d9079b2c22dd855a39c663bc9b4c4f7a50f8368e99b1fad3dc2662","Success","Tx","Cast Vote","23311402","37 days ago","0x85401467Fd3aEb683D9d42FA00A03a2b3782f8df"," ","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00001064"
"0x6521aee0220b1d265f222bfb936d551b1e57c020d22974db08ed485820401396","Success","Tx","Cast Vote","23311350","37 days ago","0x621113d749971d2423df66d6fb02f9c45d6aa6a7","argentofer.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00002607"
"0x467396dfa578dd044ddcd6f5372155380345219b9f1c542ca3a69a7f8bf8f8e8","Success","Tx","Cast Vote","23311347","37 days ago","0x621113d749971d2423df66d6fb02f9c45d6aa6a7","argentofer.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00004671"
"0x4086b9425e3370c88a3091fe0610acab67f19e2388e06d2b5f564e3c49337bb7","Success","Tx","Cast Vote","23310727","38 days ago","0xd8dea87ddcc0c3c1464ded6102e4d3e829d0ae41","taiyaki.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00001244"
"0x807557683b26c7d7e422b369af6cb2b84024c1583f5a36f0241ef047667fdb7e","Success","Tx","Cast Vote","23310089","38 days ago","0x0Dff98053ef265671fcFcF1D71DFDC17001454Eb"," ","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00001054"
"0x89947c9d18de586457c2ad45863b063b8d37bf376150bd8aec48f869f22c51fe","Success","Tx","Cast Vote","23308740","38 days ago","0x1c05decb151a459e8b045a93f472d1b238204094","foolsogood.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00005146"
"0x4b62fb88e9d32c9fb54b1e739667f8d16dc47aa554379963e813ad90cc7ded38","Success","Tx","Cast Vote","23307919","38 days ago","0xaf05b88ac16ad3272d7ade699db51d03c4ff9f91","whyyousay.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00009252"
"0x9825009b3f0bcbb7cfe01042c2d853b4579db104350d0ae9294b06150239cf73","Success","Tx","Cast Vote","23307901","38 days ago","0xa280bf4efcf1d68594c600bd1104678d577d0cf8","zhangxy.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.000093"
"0x919438eb2db5395216f81bbaebb6f223f1293be9f2e95c8123e10e64e8fd3d9c","Success","Tx","Cast Vote","23306354","38 days ago","0x8d07d225a769b7af3a923481e1fdf49180e6a265","Sybil Delegate: MonetSupply","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.0000565"
"0x62788aa1254002a349b3c761c206159682e569f615ab89a7f6954dca58c2a225","Success","Tx","Cast Vote","23305274","38 days ago","0xb8542377534c1075a9bb535acbff6dd560a32799","heydream.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00008677"
"0x4b02c7aa98bfc944e0ef1d68c5eb3e301530ec3e6be1d1959d04be89c57839e3","Success","Tx","Cast Vote","23305268","38 days ago","0xb8542377534c1075a9bb535acbff6dd560a32799","heydream.eth","0x408ed6354d4973f66138c91495f2f2fcbd8724c3"," Uniswap: Governor Bravo","0","$0.00","Ethereum(ETH)","0.00008752"
