Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x03feb43eb302f5f635c48039804ab59b469fa156d677385a6437c575e7e60b85","Success","Withdraw","77712841","2025-10-15 12:13:15","0x70fb6593f8a0728ede4e1904885ef3fbe02a28cd","","0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270","Polygon: WPOL Token","0 POL","$0.00","0.00077619"
"0xc182504b78254d8040b6e9c893d836abd7e7d45195e73bef8c945367b3b0c7ed","Success","Transfer","77712841","2025-10-15 12:13:15","0xa167101687fc8e1e7311cf014ecb0a784c103553","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0xf41eb86c2753445e3ce9ab19ff3bd8d43f812a3095ad53f298bf87e425328c57","Success","Transfer","77712841","2025-10-15 12:13:15","0xf877b111025f86a36c6ed09f3df6fd30df69ff11","","0x6aa3a471765e8a9884e0e6edcb0f796bf9f0b325","","0 POL","$0.00","0.00173465"
"0x097d141f4d18ddbb5e56acd92406b9e8149093f0a9897ac0b84718d4f784c5ef","Success","Redeem Positions","77712841","2025-10-15 12:13:15","0xa4babbe6b98c642de40ea990df7ccf33296ec5d8","","0x4d97dcd97ec945f40cf65f87097ace5ea0476045","Polymarket: Conditional Tokens","0 POL","$0.00","0.00144398"
"0x12816bf771001db8563aa9bb2591c3cdb79491ad3407e2a8001a35198252f1e2","Success","Transfer","77712841","2025-10-15 12:13:15","0x9910f2006f71571b97bd4878d0617b5d790068f4","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00105022"
"0x0c621dfcef7d418080257aced7dd38d54bd6407e6d341b5652d0111c7e96b45c","Success","Transfer","77712841","2025-10-15 12:13:15","0xfda4aacee0432ff1aca4c18fa4552af5b0924335","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
"0x561408a1a73fe12ea1e366c51afbd028a6ec62ed6a64d2549d754e9fa5e76de9","Success","Bulk Invest","77712841","2025-10-15 12:13:15","0x66d22dfd84e83c6c3c72fcadba5f9650d942783c","","0x41995aae581567b5d326fc771cceb03e05888b9c","","0 POL","$0.00","0.00711549"
"0x3b2c75ab0eff11593d8341ce636379277a991e1f8679e443a94459f50815bfa6","Success","Transfer","77712841","2025-10-15 12:13:15","0xde2f0b9dc58c67b32b05d4e2ba2cd69d8b7a02c2","","0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","Circle: USDC Token","0 POL","$0.00","0.00126165"
"0xc627ca36765655ea8bde1f1327c8ce527551fea965981adf698862b30738ed3e","Success","Transfer","77712841","2025-10-15 12:13:15","0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8","Binance: Deposit Funder 1","0xc5d7833738419d9c68ac006f9969b7bf44c9dad0","","0.04 POL","$0.01","0.00058799"
"0x446906eccfc980d4696c7e739d274634f414597b0baf0503552e0acde9b760d7","Success","Transfer","77712841","2025-10-15 12:13:15","0xea858fdac711607f1b3873a11463bfe478fa9c9e","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.00104988"
